google/gsoc2012/itawswati/10001,Swati sharma,Enhance Objective C support,SWIG
google/gsoc2012/dsy/12001,Swenyu Duan,Optimize Evergreen: Convert PL/Perl-based PostgreSQL stored procedures to PL/SQL or PL/C,Evergreen
google/gsoc2012/armaan/82002,Syed Armani,"Testing, Code Guru, Code Quality Assurance",Melange
google/gsoc2012/belphegorr/6001,Szabolcs Orbán,Mission: Training Campaign and campaign interface,Hedgewars Project
google/gsoc2012/bluex/6001,Szymon Wróblewski,Easy networking in PyGame,Python Software Foundation
google/gsoc2012/cloud_wei/16001,Taiyun Wei,Dynamic report generation in the web with R,R project for statistical computing
google/gsoc2012/syuu1228/20002,Takuya ASADA,BHyVe BIOS emulation to boot legacy systems,FreeBSD
google/gsoc2012/tamara/23002,Tamara Atanasoska,Automated reports and voting modules,e-cidadania
google/gsoc2012/segeon/7001,tanghanhong,Writing plugins for Shoal to deal with log types generated by servers other than apache,Kernel.org - the Linux Kernel Organization
google/gsoc2012/tanya_guza/20001,Tanya Guza,Improve ODF support,abiword
google/gsoc2012/taolin/17002,Tao Lin,Add ODF 1.2 RDF Metadata Support to ODF Toolkit,Apache Software Foundation
google/gsoc2012/megaterik/17001,Taras Klaskovsky,Force Directed Edge Bundling,Gephi Consortium
google/gsoc2012/ajlursister/32001,Tatiana,Kinect control of Google-Earth,Liquid Galaxy Project
google/gsoc2012/taye/12001,Taye,Performance Improvements and Mobile Device Support for Visualisation,biographer
google/gsoc2012/taylors/6001,taylors,Database improvements through decreasing dependence on datatree and userbits,"Learning Unlimited, Inc."
google/gsoc2012/temaruk/7001,temaruk,Help Topic module for the Drupal Documentation Team and for the help system,Drupal
google/gsoc2012/terenn/10001,teren,rrdgraph emulation using d3.js ,OpenNMS
google/gsoc2012/tharindu_m/18001,Tharindu Munasinghe,Modify the Homepage to Be a Portal,OpenNMS
google/gsoc2012/xth1/4001,Thiago da Silva Arruda,Visualization of Bluetooth traffic,BlueZ
google/gsoc2012/t_gs8629z/27002,Thiago de Freitas Oliveira Araujo,Study the uselfuness of clock models - Part 2,Network Time
google/gsoc2012/thibg/11002,Thibaut Girka,Multiarch Cross-Toolchains,Debian Project 
google/gsoc2012/thilinaa/9001,Thilina Buddika Abeyrathna,"Refactoring Insert/edit, Operations, Privilege and Structure sections in phpMyAdmin",phpMyAdmin
google/gsoc2012/tgummerer/12001,Thomas Gummerer,Designing a faster index format,Git
google/gsoc2012/thp/4001,Thomas Perl,PS Move API: Motion tracking using computer vision and sensor fusion,Computational Science and Engineering at TU Wien
google/gsoc2012/tj64/12001,Thorsten,Bugpile - a bugtracker for GNU Emacs Org-mode written in Elisp and Org-mode ,GNU Project
google/gsoc2012/thushan/17002,Thushan Ganegedara,Ability to Access Bookshare Periodical Content & Share books of Facebook,Benetech
google/gsoc2012/tianwei/24001,tianwei,Develop and Improve Umit Network Scanner,Umit Project
google/gsoc2012/tjerman/14001,Tim,Nomacs RAW Loader,Computational Science and Engineering at TU Wien
google/gsoc2012/budili/27001,Tim A. ,Activity tracing for Mylyn,The Eclipse Foundation
google/gsoc2012/timjurka/24001,Tim Jurka,Aggregate CRAN package download statistics across multiple mirrors,R project for statistical computing
google/gsoc2012/scfc_de/9001,Tim Landscheidt,Bison: Add option to build Abstract Syntax Trees (ASTs),GNU Project
google/gsoc2012/dynalon/12001,Timo Dörr,Improve overall Mac OS X port of Banshee,GNOME
google/gsoc2012/tpsavard/14001,Timothy Savard,Add XDEBUG support for OS X,Mono Project
google/gsoc2012/wyuka/32003,Tirtha Chatterjee,A translation editor for DTD resources,Ankur India
google/gsoc2012/tishan89/14001,Tishan Pubudu,Future enhancements for Salvo Newsreader,The Eclipse Foundation
google/gsoc2012/titusnicolae/12001,Titus Nicolae,Symbolic Expressions,Sage Mathematical Software System
google/gsoc2012/ptigwe/11001,Tobenna Peter Igwe,All Possible Equilibrium reachable by the Lemke-Howson algorithm,The Gambit Project
google/gsoc2012/smilinghtax/11001,Tobias,"PDF manipulation tools, with special focus on printing needs",The Linux Foundation
google/gsoc2012/kurbel/20001,Tobias Börtitz,HelenOS as a Genode platform,"HelenOS group at Department of Distributed and Dependable Systems, Charles University in Prague"
google/gsoc2012/thomasomast/38002,Tom Mast,Buzztard Improvements,GStreamer
google/gsoc2012/alchemist/42002,Tomas Sieger,Interactive dendrogram,R project for statistical computing
google/gsoc2012/tomek_k_tcz/9001,Tomasz,Proposal  by Tomasz Kleinschmidt for the Management Message Client (PTPd),Network Time
google/gsoc2012/tomkiewicz/34001,Tomasz Wasilczyk,Gadu-Gadu protocol plugin improvements,"Pidgin, Finch, and libpurple"
google/gsoc2012/tomithy/18002,Tomithy,Interactive Phylogeny Display For Galaxy,Genome Informatics
google/gsoc2012/topfs2_tobias_arrskog/23002,topfs2,Clean scraping API,XBMC Foundation
google/gsoc2012/toriarendt/23001,Tori Arendt,Integrating RNA Web Services into Jalview using JABAWS,National Evolutionary Synthesis Center
google/gsoc2012/nes1209/29001,touko,VFSv2: Modular and Extensible Redesign of VFS,Crystal Space
google/gsoc2012/tourzhao/52002,Tour,SAM: A General-purpose Classifier for Modern Predictive Data Analysis,R project for statistical computing
google/gsoc2012/suto/19001,Toàn Phạm Văn,Project 6 - IPv6 attack detector ,The Honeynet Project
google/gsoc2012/tmlove84/5001,Travis Love,Towards non-visual/accessible programming,Inclusive Design Institute
google/gsoc2012/tpbarron/16001,Trevor Barron,Voicing of MathML expressions and integration into FBReaderJ Android application,Benetech
google/gsoc2012/nvutri/25003,Tri Nguyen,Recruiting Webapp Enhancement,Gentoo Foundation
google/gsoc2012/trobar/7001,trobar,Improve GTE,The Gambit Project
google/gsoc2012/troylee2008/13001,Troy,"Mobile Pronunciation Evaluation for Language Learning Using Edit Distance Scoring with CMU Sphinx3, Copious Speech Data Collection, and a Game-Based Interface",CMUSphinx
google/gsoc2012/tzabal/13001,Tzanetos Balitsaris,Automated Kernel Crash Reporting System,FreeBSD
google/gsoc2012/udesh/50002,Udesh Liyanaarachchi,Voice Control For Banshee,GNOME
google/gsoc2012/udaksh/6001,Udit Jaggi,ENHANCING SECURE CODE REVIEW MODULE,Drupal
google/gsoc2012/m_umair/62002,Umair,Compression,Drizzle
google/gsoc2012/upthorn/71002,upthorn,Saving Anywhere/Savestates,ScummVM
google/gsoc2012/freeakk/33001,Uvarov Michael,Erlang Bindings,Xapian Search Engine Library
google/gsoc2012/vsindhuja/20005,V.Sindhuja,Network Address and Port Translation (NAT) models,The ns-3 Network Simulator Project
google/gsoc2012/vaibhav_aka1/5001,Vaibhav Ahlawat,"Single Sign-on throughout Multiple Internal Projects, Popular Social Media Portals, and LMS Accounts",The Concord Consortium
google/gsoc2012/sativa/31002,Valentín Barros Puertas,Get an useful state to Shotwell Faces tool,GNOME
google/gsoc2012/jimboy/4001,Vance Turnewitsch,Creating data feed components into MIT App Inventor,MIT Center for Mobile Learning @ The Media Lab
google/gsoc2012/vanhonit/10001,vanhonit,Linux Games Distribution with lxlauncher,FOSSASIA
google/gsoc2012/vdaras/13001,Vasilis Daras,Improvements to the FIFE GUI bindings: Guichan and Pychan,Unknown Horizons and FIFE
google/gsoc2012/segoon/24002,Vasily Kulikov,Hardening RHEL6/OpenVZ kernel,Openwall
google/gsoc2012/epsil/27001,Vegard Øye,Further Improve Kate's Vi Input Mode,KDE
google/gsoc2012/avelkei/16001,Velkei Ádám István,Anomaly Detection Engine,OpenStreetMap
google/gsoc2012/vellamike/7001,vellamike,A simulator-independent Python API for multi-compartmental modeling,International Neuroinformatics Coordinating Facility
google/gsoc2012/veronika/16001,Veronika,On-Canvas support for Tessellations,Inkscape
google/gsoc2012/vettukal/20002,vettukal vincent,Cloud Sync ,OpenIntents
google/gsoc2012/victsou/8001,Victor de Souza Lima e Silva,Optimization of Web Interface and Development of Mobile Apps,SimpleCV
google/gsoc2012/vlopez/20001,Victor Lopez,Enhancing the Landmarks point-location strategy for 2D arrangements,CGAL - Computational Geometry Algorithms Library 
google/gsoc2012/vig/22002,vigsterkr,Implementation of latent SVM,Shogun Machine Learning Toolbox
google/gsoc2012/vijaym123/30001,Vijay Mahantesh SM,Integrating Stereo Vision in SimpleCV,SimpleCV
google/gsoc2012/vjsamuel1990/27002,Vijay Samuel,Drizzle Backend Support for OpenStack,Drizzle
google/gsoc2012/vijaybarve/27002,vijaybarve,Access and visualization of biodiversity data in R,R project for statistical computing
google/gsoc2012/vikas_singh/27001,vikas singh,User Interface for Outpatient Module,Raxa
google/gsoc2012/thevees/33001,Vikas Srivastava,Improve silverstripe.org Module and Widgets pages,SilverStripe
google/gsoc2012/vikashagrawal/55002,vikash,Examples for HTML and CSS on MDN ,Mozilla
google/gsoc2012/vikash23/23001,Vikash Anand,Statistics Reports and HTML5 Charts,Gephi Consortium
google/gsoc2012/amrav/6001,Vikrant Varma,"Implement generic templates through a WYSIWYG editor, and improve ease of use of a new website.","Learning Unlimited, Inc."
google/gsoc2012/vpas/10001,Viktor Passichenko,"Viktor Passichenko, Computational photography(super-resolution)",Open Source Computer Vision Library (OpenCV)
google/gsoc2012/embassyhill/9001,Ville Sokk,Port missing GIMP features to GEGL,GIMP
google/gsoc2012/automata/14001,Vilson Vieira,Meemoo (Hackable Web Apps),Mozilla
google/gsoc2012/vincent_kang/32001,Vincent (zuyin kang),Dialog improvements,abiword
google/gsoc2012/violetailieva/14001,Violeta Ilieva,Adding a Maps component to the MIT App Inventor,MIT Center for Mobile Learning @ The Media Lab
google/gsoc2012/swvist/21002,Vipin Nair,Improving Debian Team Activity Metrics,Debian Project 
google/gsoc2012/vipulnsward/24001,Vipul A M,Digital Signature Support in krypt,The JRuby Project
google/gsoc2012/vvirag/10001,Virag Varga,Finding all equilibria reachable by Lemke-Howson,The Gambit Project
google/gsoc2012/viranch/37002,Viranch Mehta,Write a KDE game using QML/QtQuick,KDE
google/gsoc2012/vishesh/37002,Vishesh Yadav,Implement inotify interface and Indexing Service for Filesystem,DragonFly BSD
google/gsoc2012/visitha/26001,Visitha Baddegama,WebHelp,DocBook Project
google/gsoc2012/vivekp/54002,Vivek Prakash,Port GNU Compiler Collection (gcc) to HelenOS,"HelenOS group at Department of Distributed and Dependable Systems, Charles University in Prague"
google/gsoc2012/viv001/17001,Vivek.H,Upgrade Translation Functionality,Sahana Software Foundation
google/gsoc2012/snap/7001,Vivien Botton, NTFS for FreeBSD,FreeBSD
google/gsoc2012/vladb38/69002,Vlad Balan,Socket option to timestamp UDP packets in the kernel,The NetBSD Foundation
google/gsoc2012/vladn/26002,Vlad Niculae,Need for scikit-learn speed,Python Software Foundation
google/gsoc2012/stvlad/17001,Vladislav,Simon SPHINX support,KDE
google/gsoc2012/white_pony/23002,Volodymyr Kysenko,Solver for the Standard and Generalized Eigenvalue Problem,Computational Science and Engineering at TU Wien
google/gsoc2012/volodymyr_rudyj/41005,Volodymyr Rudyj,Audio mixing and video compositing in GES,GStreamer
google/gsoc2012/vperic/24005,VPeric,Twisted: Python 3 preparation,Python Software Foundation
google/gsoc2012/vmatyushin/21002,Vyacheslav Matyushin,HTree directory indexing for Ext3,The NetBSD Foundation
google/gsoc2012/bucket_brigade/42002,Vytautas Jančauskas,Plots in pandas,Python Software Foundation
google/gsoc2012/wajahat_abbassi/35002,Waj,Table definition files in an innodb table,Drizzle
google/gsoc2012/wakeupsid/12001,wakeupsid,JavaScript Frontend Using JSON api,Buildbot
google/gsoc2012/wcluo/47004,Wencan Luo,Semantic language model,CMUSphinx
google/gsoc2012/warindrarto/13001,Wibowo Arindrarto,SearchIO Implementation in Biopython,Open Bioinformatics Foundation
google/gsoc2012/jolkaczad/28002,Wik,ARINC 653 API,RTEMS Project
google/gsoc2012/wnayes/6001,Will,Instantbird Account Import Wizard,Mozilla
google/gsoc2012/wting/8001,William Ting,GNOME - Epiphany Browser Synchronization,GNOME
google/gsoc2012/wojtek/77004,Wojtek Szkutnik,Form and Model Validation,SilverStripe
google/gsoc2012/wolfgangst/30003,Wolfgang Steffens,Hedgewars: sprite engine overhaul,Hedgewars Project
google/gsoc2012/phoenixyjll/22001,Wu Jianbang,Implicit to NURBS conversion,BRL-CAD
google/gsoc2012/hiyangxi/14002,Xi Yang,RTEMS on Asymmetric Multiprocessor (OMAP4),RTEMS Project
google/gsoc2012/xiaoxiangquan/86002,Xiao Xiangquan,Improve and Demo the Terrain System,OGRE (Object-Oriented Graphics Rendering Engine) 
google/gsoc2012/grebamboo/16001,Xiaolin Yang," Biganalysis: A robust, general-purpose R package for large scale classification",R project for statistical computing
google/gsoc2012/xxp/21002,Xingxing Pan,Port Any Open Source C/C++ Project To The Web,Mozilla
google/gsoc2012/mzweilin/26002,Xu Weilin,IPv6 attack detector,The Honeynet Project
google/gsoc2012/yabin_hust/23001,Yabin Hu,Extending Polly with Automatic GPGPU Code Generation,The LLVM Compiler Infrastructure 
google/gsoc2012/yeyanchao/17001,Yanchao Ye,Yanchao Ye Google Summer Of Code Student Application,Connexions
google/gsoc2012/yangyanlee/6001,Yangyan Li,ScanModeler: a Point Cloud based Reconstruction Platform,Point Cloud Library (PCL)
google/gsoc2012/yannp/23001,Yann Pravo,Titling/text in PiTiVi,GStreamer
google/gsoc2012/yann_soubeyrand/11001,Yann SOUBEYRAND,"Add synchronization to Epiphany, the GNOME web browser",GNOME
google/gsoc2012/yaroslav/11018,Yaroslav Porshnev,Airavata Workflow Enactment to support Amazon Simple Workflow Service. (AIRAVATA-340),Apache Software Foundation
google/gsoc2012/yashshah/18001,Yash Shah,Multimodal Accessibility: Using Computer Vision to improve Speech Recognition in Simon,KDE
google/gsoc2012/yasin/7001,yasin,Turkish-Turkmen Machine Translation-Apertium,Apertium
google/gsoc2012/yasitha4/8001,Yasitha Pandithawatta,Automated Testing,phpMyAdmin
google/gsoc2012/euvl/35001,Yevhenii,Create a jQuery mobile interface for TagTeam,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/egangzhou/38002,Yigang Zhou,Visualizing Semantic Data Landscapes with Cytoscape 3.0,National Resource for Network Biology (NRNB)
google/gsoc2012/dknn/11001,Yoann Blein,Swift - Screen sharing,XMPP Standards Foundation
google/gsoc2012/yongcong/15001,yongcong,add cpuidle support to haiku,Haiku
google/gsoc2012/xiaoqiangnk/37002,Yongqiang Yang,writable snapshot support for ext4 snapshot,openSUSE
google/gsoc2012/nature3/27001,Yuan,Improving APKInspektor,The Honeynet Project
google/gsoc2012/paperwing/40002,Yue Dong,"Cytoscape App Manager, Cytoscape Web WebGL Renderer and Layouts, Presentation API Testing",National Resource for Network Biology (NRNB)
google/gsoc2012/yuhang1985/24001,yuhang1985,Semantic Service,Interface Ecology Lab @ Texas A&M University
google/gsoc2012/yukiawano/15001,Yuki Awano,Content Personalization and Targeting Module,SilverStripe
google/gsoc2012/urikz/24001,Yury Zemlyanskiy,OpenCV. Computational photography(super-resolution),Open Source Computer Vision Library (OpenCV)
google/gsoc2012/zaccone/21002,zaccone,"Data mining module, finding frequent network-itemsets ",The Honeynet Project
google/gsoc2012/zachmoreno/9001,Zachariah Moreno,Eclipse Orion Chrome DevTools Extension,The Eclipse Foundation
google/gsoc2012/kondr/10002,Zbyněk Konečný,CAS improvements,International GeoGebra Institute
google/gsoc2012/zcgucas/13001,zcgucas,C++ification of SP Event Context,Inkscape
google/gsoc2012/zf6465/19001,Zheng Fan,Matterhorn Market Place,Opencast Matterhorn 
google/gsoc2012/zheng_yang/42002,Zheng Yang,Document Collection Foreign Data Wrapper,PostgreSQL Project
google/gsoc2012/ofan/14001,Zhengliang Feng,Integrate Spotify into Amarok,KDE
google/gsoc2012/zjshen/37002,Zhijie Shen,Adding the Datetime Type as a Primitive for Pig,Apache Software Foundation
google/gsoc2012/shinysky/52002,Zhiwei DAI,iOS Agent For Open Monitor,Umit Project
google/gsoc2012/ashi08104/29001,Zhongwei Yao,Use hash or map in POSIX keys,RTEMS Project
google/gsoc2012/zisis00/7001,Zisis Sialveras,LDAP based policy plugin,Drizzle
google/gsoc2012/nagyz/59002,Zoltan,NAT-PMP and/or UPnP IGD support for NPF; MiniUPnP integration,The NetBSD Foundation
google/gsoc2012/zoomin/23001,zoomin,Liquid Galaxy Project  - -JavaScript based Liquid Galaxy,Liquid Galaxy Project
google/gsoc2012/zuhao/28003,Zuhao,IsItFedoraRuby,The Fedora Project
google/gsoc2012/ejls/12001,ÉJLS,Whiteboard backend polishing,Battle For Wesnoth
google/gsoc2012/malisz/70002,Łukasz Maliszewski,Image processing algorithms based on solving Poisson equations.,OpenImageIO
google/gsoc2012/zdobersek/13001,Žan Doberšek,Support for Gamepad API in WebKitGTK+ and general gamepad configuration options in System Settings,GNOME
google/gsoc2012/slimm/12001,Ștefan Săftescu,GUI Interaction/User Feedback,PulseAudio
google/gsoc2012/zlv/13001,Евгений Лежнин,Text Rework,Inkscape
